Stats	Level	HP	Attack	Defense	Sp. Attack	Sp. Defense	Speed
Base Stats - Total: 525	Base Stats - Total: 525	65	65	60	110	95	130
Max StatsHindering Nature	Lv. 100	240 - 334	121 - 206	112 - 197	202 - 287	175 - 260	238 - 323
Max StatsNeutral Nature	Lv. 100	240 - 334	135 - 229	125 - 219	225 - 319	195 - 289	265 - 359
Max StatsBeneficial Nature	Lv. 100	240 - 334	148 - 251	137 - 240	247 - 350	214 - 317	291 - 394
Base Stats - Total: 525	Base Stats - Total: 525	65	130	60	95	110	65
Max StatsHindering Nature	Lv. 100	240 - 334	238 - 323	112 - 197	175 - 260	202 - 287	121 - 206
Max StatsNeutral Nature	Lv. 100	240 - 334	265 - 359	125 - 219	195 - 289	225 - 319	135 - 229
Max StatsBeneficial Nature	Lv. 100	240 - 334	291 - 394	137 - 240	214 - 317	247 - 350	148 - 251
Base Stats - Total: 395	Base Stats - Total: 395	65	60	70	85	75	40
Max StatsHindering Nature	Lv. 100	240 - 334	112 - 197	130 - 215	157 - 242	139 - 224	76 - 161
Max StatsNeutral Nature	Lv. 100	240 - 334	125 - 219	145 - 239	175 - 269	155 - 249	85 - 179
Max StatsBeneficial Nature	Lv. 100	240 - 334	137 - 240	159 - 262	192 - 295	170 - 273	93 - 196
Base Stats - Total: 355	Base Stats - Total: 355	35	40	100	90	55	35
Max StatsHindering Nature	Lv. 100	180 - 274	76 - 161	184 - 269	166 - 251	103 - 188	67 - 152
Max StatsNeutral Nature	Lv. 100	180 - 274	85 - 179	205 - 299	185 - 279	115 - 209	75 - 169
Max StatsBeneficial Nature	Lv. 100	180 - 274	93 - 196	225 - 328	203 - 306	126 - 229	82 - 185
Base Stats - Total: 495	Base Stats - Total: 495	70	60	125	115	70	55
Max StatsHindering Nature	Lv. 100	250 - 344	112 - 197	229 - 314	211 - 296	130 - 215	103 - 188
Max StatsNeutral Nature	Lv. 100	250 - 344	125 - 219	255 - 349	235 - 329	145 - 239	115 - 209
Max StatsBeneficial Nature	Lv. 100	250 - 344	137 - 240	280 - 383	258 - 361	159 - 262	126 - 229
Base Stats - Total: 355	Base Stats - Total: 355	30	80	90	55	45	55
Max StatsHindering Nature	Lv. 100	170 - 264	148 - 233	166 - 251	103 - 188	85 - 170	103 - 188
Max StatsNeutral Nature	Lv. 100	170 - 264	165 - 259	185 - 279	115 - 209	95 - 189	115 - 209
Max StatsBeneficial Nature	Lv. 100	170 - 264	181 - 284	203 - 306	126 - 229	104 - 207	126 - 229
Base Stats - Total: 495	Base Stats - Total: 495	60	115	105	65	70	80
Max StatsHindering Nature	Lv. 100	230 - 324	211 - 296	193 - 278	121 - 206	130 - 215	148 - 233
Max StatsNeutral Nature	Lv. 100	230 - 324	235 - 329	215 - 309	135 - 229	145 - 239	165 - 259
Max StatsBeneficial Nature	Lv. 100	230 - 324	258 - 361	236 - 339	148 - 251	159 - 262	181 - 284
Base Stats - Total: 515	Base Stats - Total: 515	80	105	65	60	75	130
Max StatsHindering Nature	Lv. 100	270 - 364	193 - 278	121 - 206	112 - 197	139 - 224	238 - 323
Max StatsNeutral Nature	Lv. 100	270 - 364	215 - 309	135 - 229	125 - 219	155 - 249	265 - 359
Max StatsBeneficial Nature	Lv. 100	270 - 364	236 - 339	148 - 251	137 - 240	170 - 273	291 - 394
Base Stats - Total: 540	Base Stats - Total: 540	160	110	65	65	110	30
Max StatsHindering Nature	Lv. 100	430 - 524	202 - 287	121 - 206	121 - 206	202 - 287	58 - 143
Max StatsNeutral Nature	Lv. 100	430 - 524	225 - 319	135 - 229	135 - 229	225 - 319	65 - 159
Max StatsBeneficial Nature	Lv. 100	430 - 524	247 - 350	148 - 251	148 - 251	247 - 350	71 - 174
Base Stats - Total: 580	Base Stats - Total: 580	90	85	100	95	125	85
Max StatsHindering Nature	Lv. 100	290 - 384	157 - 242	184 - 269	175 - 260	229 - 314	157 - 242
Max StatsNeutral Nature	Lv. 100	290 - 384	175 - 269	205 - 299	195 - 289	255 - 349	175 - 269
Max StatsBeneficial Nature	Lv. 100	290 - 384	192 - 295	225 - 328	214 - 317	280 - 383	192 - 295
Base Stats - Total: 580	Base Stats - Total: 580	90	90	85	125	90	100
Max StatsHindering Nature	Lv. 100	290 - 384	166 - 251	157 - 242	229 - 314	166 - 251	184 - 269
Max StatsNeutral Nature	Lv. 100	290 - 384	185 - 279	175 - 269	255 - 349	185 - 279	205 - 299
Max StatsBeneficial Nature	Lv. 100	290 - 384	203 - 306	192 - 295	280 - 383	203 - 306	225 - 328
Base Stats - Total: 580	Base Stats - Total: 580	90	100	90	125	85	90
Max StatsHindering Nature	Lv. 100	290 - 384	184 - 269	166 - 251	229 - 314	157 - 242	166 - 251
Max StatsNeutral Nature	Lv. 100	290 - 384	205 - 299	185 - 279	255 - 349	175 - 269	185 - 279
Max StatsBeneficial Nature	Lv. 100	290 - 384	225 - 328	203 - 306	280 - 383	192 - 295	203 - 306
Base Stats - Total: 300	Base Stats - Total: 300	41	64	45	50	50	50
Max StatsHindering Nature	Lv. 100	192 - 286	119 - 204	85 - 170	94 - 179	94 - 179	94 - 179
Max StatsNeutral Nature	Lv. 100	192 - 286	133 - 227	95 - 189	105 - 199	105 - 199	105 - 199
Max StatsBeneficial Nature	Lv. 100	192 - 286	146 - 249	104 - 207	115 - 218	115 - 218	115 - 218
Base Stats - Total: 420	Base Stats - Total: 420	61	84	65	70	70	70
Max StatsHindering Nature	Lv. 100	232 - 326	155 - 240	121 - 206	130 - 215	130 - 215	130 - 215
Max StatsNeutral Nature	Lv. 100	232 - 326	173 - 267	135 - 229	145 - 239	145 - 239	145 - 239
Max StatsBeneficial Nature	Lv. 100	232 - 326	190 - 293	148 - 251	159 - 262	159 - 262	159 - 262
Base Stats - Total: 600	Base Stats - Total: 600	91	134	95	100	100	80
Max StatsHindering Nature	Lv. 100	292 - 386	245 - 330	175 - 260	184 - 269	184 - 269	148 - 233
Max StatsNeutral Nature	Lv. 100	292 - 386	273 - 367	195 - 289	205 - 299	205 - 299	165 - 259
Max StatsBeneficial Nature	Lv. 100	292 - 386	300 - 403	214 - 317	225 - 328	225 - 328	181 - 284
Base Stats - Total: 680	Base Stats - Total: 680	106	110	90	154	90	130
Max StatsHindering Nature	Lv. 100	322 - 416	202 - 287	166 - 251	281 - 366	166 - 251	238 - 323
Max StatsNeutral Nature	Lv. 100	322 - 416	225 - 319	185 - 279	313 - 407	185 - 279	265 - 359
Max StatsBeneficial Nature	Lv. 100	322 - 416	247 - 350	203 - 306	344 - 447	203 - 306	291 - 394
Base Stats - Total: 600	Base Stats - Total: 600	100	100	100	100	100	100
Max StatsHindering Nature	Lv. 100	310 - 404	184 - 269	184 - 269	184 - 269	184 - 269	184 - 269
Max StatsNeutral Nature	Lv. 100	310 - 404	205 - 299	205 - 299	205 - 299	205 - 299	205 - 299
Max StatsBeneficial Nature	Lv. 100	310 - 404	225 - 328	225 - 328	225 - 328	225 - 328	225 - 328
Base Stats - Total: 318	Base Stats - Total: 318	45	49	65	49	65	45
Max StatsHindering Nature	Lv. 100	200 - 294	92 - 177	121 - 206	92 - 177	121 - 206	85 - 170
Max StatsNeutral Nature	Lv. 100	200 - 294	103 - 197	135 - 229	103 - 197	135 - 229	95 - 189
Max StatsBeneficial Nature	Lv. 100	200 - 294	113 - 216	148 - 251	113 - 216	148 - 251	104 - 207
Base Stats - Total: 405	Base Stats - Total: 405	60	62	80	63	80	60
Max StatsHindering Nature	Lv. 100	230 - 324	116 - 200	148 - 233	117 - 202	148 - 233	112 - 197
Max StatsNeutral Nature	Lv. 100	230 - 324	129 - 223	165 - 259	131 - 225	165 - 259	125 - 219
Max StatsBeneficial Nature	Lv. 100	230 - 324	141 - 245	181 - 284	144 - 247	181 - 284	137 - 240
Base Stats - Total: 525	Base Stats - Total: 525	80	82	100	83	100	80
Max StatsHindering Nature	Lv. 100	270 - 364	152 - 236	184 - 269	153 - 238	184 - 269	148 - 233
Max StatsNeutral Nature	Lv. 100	270 - 364	169 - 263	205 - 299	171 - 265	205 - 299	165 - 259
Max StatsBeneficial Nature	Lv. 100	270 - 364	185 - 289	225 - 328	188 - 291	225 - 328	181 - 284
Base Stats - Total: 309	Base Stats - Total: 309	39	52	43	60	50	65
Max StatsHindering Nature	Lv. 100	188 - 282	98 - 182	81 - 166	112 - 197	94 - 179	121 - 206
Max StatsNeutral Nature	Lv. 100	188 - 282	109 - 203	91 - 185	125 - 219	105 - 199	135 - 229
Max StatsBeneficial Nature	Lv. 100	188 - 282	119 - 223	100 - 203	137 - 240	115 - 218	148 - 251
Base Stats - Total: 405	Base Stats - Total: 405	58	64	58	80	65	80
Max StatsHindering Nature	Lv. 100	226 - 320	119 - 204	108 - 193	148 - 233	121 - 206	148 - 233
Max StatsNeutral Nature	Lv. 100	226 - 320	133 - 227	121 - 215	165 - 259	135 - 229	165 - 259
Max StatsBeneficial Nature	Lv. 100	226 - 320	146 - 249	133 - 236	181 - 284	148 - 251	181 - 284
Base Stats - Total: 534	Base Stats - Total: 534	78	84	78	109	85	100
Max StatsHindering Nature	Lv. 100	266 - 360	155 - 240	144 - 229	200 - 285	157 - 242	184 - 269
Max StatsNeutral Nature	Lv. 100	266 - 360	173 - 267	161 - 255	223 - 317	175 - 269	205 - 299
Max StatsBeneficial Nature	Lv. 100	266 - 360	190 - 293	177 - 280	245 - 348	192 - 295	225 - 328
Base Stats - Total: 314	Base Stats - Total: 314	50	65	64	44	48	43
Max StatsHindering Nature	Lv. 100	210 - 304	121 - 206	119 - 204	83 - 168	90 - 175	81 - 166
Max StatsNeutral Nature	Lv. 100	210 - 304	135 - 229	133 - 227	93 - 187	101 - 195	91 - 185
Max StatsBeneficial Nature	Lv. 100	210 - 304	148 - 251	146 - 249	102 - 205	111 - 214	100 - 203
Base Stats - Total: 405	Base Stats - Total: 405	65	80	80	59	63	58
Max StatsHindering Nature	Lv. 100	240 - 334	148 - 233	148 - 233	110 - 195	117 - 202	108 - 193
Max StatsNeutral Nature	Lv. 100	240 - 334	165 - 259	165 - 259	123 - 217	131 - 225	121 - 215
Max StatsBeneficial Nature	Lv. 100	240 - 334	181 - 284	181 - 284	135 - 238	144 - 247	133 - 236
Base Stats - Total: 530	Base Stats - Total: 530	85	105	100	79	83	78
Max StatsHindering Nature	Lv. 100	280 - 374	193 - 278	184 - 269	146 - 231	153 - 238	144 - 229
Max StatsNeutral Nature	Lv. 100	280 - 374	215 - 309	205 - 299	163 - 257	171 - 265	161 - 255
Max StatsBeneficial Nature	Lv. 100	280 - 374	236 - 339	225 - 328	179 - 282	188 - 291	177 - 280
Base Stats - Total: 215	Base Stats - Total: 215	35	46	34	35	45	20
Max StatsHindering Nature	Lv. 100	180 - 274	87 - 171	65 - 150	67 - 152	85 - 170	40 - 125
Max StatsNeutral Nature	Lv. 100	180 - 274	97 - 191	73 - 167	75 - 169	95 - 189	45 - 139
Max StatsBeneficial Nature	Lv. 100	180 - 274	106 - 210	80 - 183	82 - 185	104 - 207	49 - 152
Base Stats - Total: 415	Base Stats - Total: 415	85	76	64	45	55	90
Max StatsHindering Nature	Lv. 100	280 - 374	141 - 225	119 - 204	85 - 170	103 - 188	166 - 251
Max StatsNeutral Nature	Lv. 100	280 - 374	157 - 251	133 - 227	95 - 189	115 - 209	185 - 279
Max StatsBeneficial Nature	Lv. 100	280 - 374	172 - 276	146 - 249	104 - 207	126 - 229	203 - 306
Base Stats - Total: 262	Base Stats - Total: 262	60	30	30	36	56	50
Max StatsHindering Nature	Lv. 100	230 - 324	58 - 143	58 - 143	69 - 153	105 - 189	94 - 179
Max StatsNeutral Nature	Lv. 100	230 - 324	65 - 159	65 - 159	77 - 171	117 - 211	105 - 199
Max StatsBeneficial Nature	Lv. 100	230 - 324	71 - 174	71 - 174	84 - 188	128 - 232	115 - 218
Base Stats - Total: 452	Base Stats - Total: 452	100	50	50	86	96	70
Max StatsHindering Nature	Lv. 100	310 - 404	94 - 179	94 - 179	159 - 243	177 - 261	130 - 215
Max StatsNeutral Nature	Lv. 100	310 - 404	105 - 199	105 - 199	177 - 271	197 - 291	145 - 239
Max StatsBeneficial Nature	Lv. 100	310 - 404	115 - 218	115 - 218	194 - 298	216 - 320	159 - 262
Base Stats - Total: 265	Base Stats - Total: 265	40	20	30	40	80	55
Max StatsHindering Nature	Lv. 100	190 - 284	40 - 125	58 - 143	76 - 161	148 - 233	103 - 188
Max StatsNeutral Nature	Lv. 100	190 - 284	45 - 139	65 - 159	85 - 179	165 - 259	115 - 209
Max StatsBeneficial Nature	Lv. 100	190 - 284	49 - 152	71 - 174	93 - 196	181 - 284	126 - 229
Base Stats - Total: 390	Base Stats - Total: 390	55	35	50	55	110	85
Max StatsHindering Nature	Lv. 100	220 - 314	67 - 152	94 - 179	103 - 188	202 - 287	157 - 242
Max StatsNeutral Nature	Lv. 100	220 - 314	75 - 169	105 - 199	115 - 209	225 - 319	175 - 269
Max StatsBeneficial Nature	Lv. 100	220 - 314	82 - 185	115 - 218	126 - 229	247 - 350	192 - 295
Base Stats - Total: 250	Base Stats - Total: 250	40	60	40	40	40	30
Max StatsHindering Nature	Lv. 100	190 - 284	112 - 197	76 - 161	76 - 161	76 - 161	58 - 143
Max StatsNeutral Nature	Lv. 100	190 - 284	125 - 219	85 - 179	85 - 179	85 - 179	65 - 159
Max StatsBeneficial Nature	Lv. 100	190 - 284	137 - 240	93 - 196	93 - 196	93 - 196	71 - 174
Base Stats - Total: 400	Base Stats - Total: 400	70	90	70	60	70	40
Max StatsHindering Nature	Lv. 100	250 - 344	166 - 251	130 - 215	112 - 197	130 - 215	76 - 161
Max StatsNeutral Nature	Lv. 100	250 - 344	185 - 279	145 - 239	125 - 219	145 - 239	85 - 179
Max StatsBeneficial Nature	Lv. 100	250 - 344	203 - 306	159 - 262	137 - 240	159 - 262	93 - 196
Base Stats - Total: 535	Base Stats - Total: 535	85	90	80	70	80	130
Max StatsHindering Nature	Lv. 100	280 - 374	166 - 251	148 - 233	130 - 215	148 - 233	238 - 323
Max StatsNeutral Nature	Lv. 100	280 - 374	185 - 279	165 - 259	145 - 239	165 - 259	265 - 359
Max StatsBeneficial Nature	Lv. 100	280 - 374	203 - 306	181 - 284	159 - 262	181 - 284	291 - 394
Base Stats - Total: 330	Base Stats - Total: 330	75	38	38	56	56	67
Max StatsHindering Nature	Lv. 100	260 - 354	72 - 157	72 - 157	105 - 189	105 - 189	125 - 209
Max StatsNeutral Nature	Lv. 100	260 - 354	81 - 175	81 - 175	117 - 211	117 - 211	139 - 233
Max StatsBeneficial Nature	Lv. 100	260 - 354	89 - 192	89 - 192	128 - 232	128 - 232	152 - 256
Base Stats - Total: 460	Base Stats - Total: 460	125	58	58	76	76	67
Max StatsHindering Nature	Lv. 100	360 - 454	108 - 193	108 - 193	141 - 225	141 - 225	125 - 209
Max StatsNeutral Nature	Lv. 100	360 - 454	121 - 215	121 - 215	157 - 251	157 - 251	139 - 233
Max StatsBeneficial Nature	Lv. 100	360 - 454	133 - 236	133 - 236	172 - 276	172 - 276	152 - 256
Base Stats - Total: 205	Base Stats - Total: 205	20	40	15	35	35	60
Max StatsHindering Nature	Lv. 100	150 - 244	76 - 161	31 - 116	67 - 152	67 - 152	112 - 197
Max StatsNeutral Nature	Lv. 100	150 - 244	85 - 179	35 - 129	75 - 169	75 - 169	125 - 219
Max StatsBeneficial Nature	Lv. 100	150 - 244	93 - 196	38 - 141	82 - 185	82 - 185	137 - 240
Base Stats - Total: 218	Base Stats - Total: 218	50	25	28	45	55	15
Max StatsHindering Nature	Lv. 100	210 - 304	49 - 134	54 - 139	85 - 170	103 - 188	31 - 116
Max StatsNeutral Nature	Lv. 100	210 - 304	55 - 149	61 - 155	95 - 189	115 - 209	35 - 129
Max StatsBeneficial Nature	Lv. 100	210 - 304	60 - 163	67 - 170	104 - 207	126 - 229	38 - 141
Base Stats - Total: 210	Base Stats - Total: 210	90	30	15	40	20	15
Max StatsHindering Nature	Lv. 100	290 - 384	58 - 143	31 - 116	76 - 161	40 - 125	31 - 116
Max StatsNeutral Nature	Lv. 100	290 - 384	65 - 159	35 - 129	85 - 179	45 - 139	35 - 129
Max StatsBeneficial Nature	Lv. 100	290 - 384	71 - 174	38 - 141	93 - 196	49 - 152	38 - 141
Base Stats - Total: 245	Base Stats - Total: 245	35	20	65	40	65	20
Max StatsHindering Nature	Lv. 100	180 - 274	40 - 125	121 - 206	76 - 161	121 - 206	40 - 125
Max StatsNeutral Nature	Lv. 100	180 - 274	45 - 139	135 - 229	85 - 179	135 - 229	45 - 139
Max StatsBeneficial Nature	Lv. 100	180 - 274	49 - 152	148 - 251	93 - 196	148 - 251	49 - 152
Base Stats - Total: 405	Base Stats - Total: 405	55	40	85	80	105	40
Max StatsHindering Nature	Lv. 100	220 - 314	76 - 161	157 - 242	148 - 233	193 - 278	76 - 161
Max StatsNeutral Nature	Lv. 100	220 - 314	85 - 179	175 - 269	165 - 259	215 - 309	85 - 179
Max StatsBeneficial Nature	Lv. 100	220 - 314	93 - 196	192 - 295	181 - 284	236 - 339	93 - 196
Base Stats - Total: 320	Base Stats - Total: 320	40	50	45	70	45	70
Max StatsHindering Nature	Lv. 100	190 - 284	94 - 179	85 - 170	130 - 215	85 - 170	130 - 215
Max StatsNeutral Nature	Lv. 100	190 - 284	105 - 199	95 - 189	145 - 239	95 - 189	145 - 239
Max StatsBeneficial Nature	Lv. 100	190 - 284	115 - 218	104 - 207	159 - 262	104 - 207	159 - 262
Base Stats - Total: 470	Base Stats - Total: 470	65	75	70	95	70	95
Max StatsHindering Nature	Lv. 100	240 - 334	139 - 224	130 - 215	175 - 260	130 - 215	175 - 260
Max StatsNeutral Nature	Lv. 100	240 - 334	155 - 249	145 - 239	195 - 289	145 - 239	195 - 289
Max StatsBeneficial Nature	Lv. 100	240 - 334	170 - 273	159 - 262	214 - 317	159 - 262	214 - 317
Base Stats - Total: 280	Base Stats - Total: 280	55	40	40	65	45	35
Max StatsHindering Nature	Lv. 100	220 - 314	76 - 161	76 - 161	121 - 206	85 - 170	67 - 152
Max StatsNeutral Nature	Lv. 100	220 - 314	85 - 179	85 - 179	135 - 229	95 - 189	75 - 169
Max StatsBeneficial Nature	Lv. 100	220 - 314	93 - 196	93 - 196	148 - 251	104 - 207	82 - 185
Base Stats - Total: 365	Base Stats - Total: 365	70	55	55	80	60	45
Max StatsHindering Nature	Lv. 100	250 - 344	103 - 188	103 - 188	148 - 233	112 - 197	85 - 170
Max StatsNeutral Nature	Lv. 100	250 - 344	115 - 209	115 - 209	165 - 259	125 - 219	95 - 189
Max StatsBeneficial Nature	Lv. 100	250 - 344	126 - 229	126 - 229	181 - 284	137 - 240	104 - 207
Base Stats - Total: 510	Base Stats - Total: 510	90	75	85	115	90	55
Max StatsHindering Nature	Lv. 100	290 - 384	139 - 224	157 - 242	211 - 296	166 - 251	103 - 188
Max StatsNeutral Nature	Lv. 100	290 - 384	155 - 249	175 - 269	235 - 329	185 - 279	115 - 209
Max StatsBeneficial Nature	Lv. 100	290 - 384	170 - 273	192 - 295	258 - 361	203 - 306	126 - 229
Base Stats - Total: 490	Base Stats - Total: 490	75	80	95	90	100	50
Max StatsHindering Nature	Lv. 100	260 - 354	148 - 233	175 - 260	166 - 251	184 - 269	94 - 179
Max StatsNeutral Nature	Lv. 100	260 - 354	165 - 259	195 - 289	185 - 279	205 - 299	105 - 199
Max StatsBeneficial Nature	Lv. 100	260 - 354	181 - 284	214 - 317	203 - 306	225 - 328	115 - 218
Base Stats - Total: 250	Base Stats - Total: 250	70	20	50	20	50	40
Max StatsHindering Nature	Lv. 100	250 - 344	40 - 125	94 - 179	40 - 125	94 - 179	76 - 161
Max StatsNeutral Nature	Lv. 100	250 - 344	45 - 139	105 - 199	45 - 139	105 - 199	85 - 179
Max StatsBeneficial Nature	Lv. 100	250 - 344	49 - 152	115 - 218	49 - 152	115 - 218	93 - 196
Base Stats - Total: 420	Base Stats - Total: 420	100	50	80	60	80	50
Max StatsHindering Nature	Lv. 100	310 - 404	94 - 179	148 - 233	112 - 197	148 - 233	94 - 179
Max StatsNeutral Nature	Lv. 100	310 - 404	105 - 199	165 - 259	125 - 219	165 - 259	105 - 199
Max StatsBeneficial Nature	Lv. 100	310 - 404	115 - 218	181 - 284	137 - 240	181 - 284	115 - 218
Base Stats - Total: 410	Base Stats - Total: 410	70	100	115	30	65	30
Max StatsHindering Nature	Lv. 100	250 - 344	184 - 269	211 - 296	58 - 143	121 - 206	58 - 143
Max StatsNeutral Nature	Lv. 100	250 - 344	205 - 299	235 - 329	65 - 159	135 - 229	65 - 159
Max StatsBeneficial Nature	Lv. 100	250 - 344	225 - 328	258 - 361	71 - 174	148 - 251	71 - 174
Base Stats - Total: 500	Base Stats - Total: 500	90	75	75	90	100	70
Max StatsHindering Nature	Lv. 100	290 - 384	139 - 224	139 - 224	166 - 251	184 - 269	130 - 215
Max StatsNeutral Nature	Lv. 100	290 - 384	155 - 249	155 - 249	185 - 279	205 - 299	145 - 239
Max StatsBeneficial Nature	Lv. 100	290 - 384	170 - 273	170 - 273	203 - 306	225 - 328	159 - 262
Base Stats - Total: 250	Base Stats - Total: 250	35	35	40	35	55	50
Max StatsHindering Nature	Lv. 100	180 - 274	67 - 152	76 - 161	67 - 152	103 - 188	94 - 179
Max StatsNeutral Nature	Lv. 100	180 - 274	75 - 169	85 - 179	75 - 169	115 - 209	105 - 199
Max StatsBeneficial Nature	Lv. 100	180 - 274	82 - 185	93 - 196	82 - 185	126 - 229	115 - 218
Base Stats - Total: 340	Base Stats - Total: 340	55	45	50	45	65	80
Max StatsHindering Nature	Lv. 100	220 - 314	85 - 170	94 - 179	85 - 170	121 - 206	148 - 233
Max StatsNeutral Nature	Lv. 100	220 - 314	95 - 189	105 - 199	95 - 189	135 - 229	165 - 259
Max StatsBeneficial Nature	Lv. 100	220 - 314	104 - 207	115 - 218	104 - 207	148 - 251	181 - 284
Base Stats - Total: 460	Base Stats - Total: 460	75	55	70	55	95	110
Max StatsHindering Nature	Lv. 100	260 - 354	103 - 188	130 - 215	103 - 188	175 - 260	202 - 287
Max StatsNeutral Nature	Lv. 100	260 - 354	115 - 209	145 - 239	115 - 209	195 - 289	225 - 319
Max StatsBeneficial Nature	Lv. 100	260 - 354	126 - 229	159 - 262	126 - 229	214 - 317	247 - 350
Base Stats - Total: 360	Base Stats - Total: 360	55	70	55	40	55	85
Max StatsHindering Nature	Lv. 100	220 - 314	130 - 215	103 - 188	76 - 161	103 - 188	157 - 242
Max StatsNeutral Nature	Lv. 100	220 - 314	145 - 239	115 - 209	85 - 179	115 - 209	175 - 269
Max StatsBeneficial Nature	Lv. 100	220 - 314	159 - 262	126 - 229	93 - 196	126 - 229	192 - 295
Base Stats - Total: 180	Base Stats - Total: 180	30	30	30	30	30	30
Max StatsHindering Nature	Lv. 100	170 - 264	58 - 143	58 - 143	58 - 143	58 - 143	58 - 143
Max StatsNeutral Nature	Lv. 100	170 - 264	65 - 159	65 - 159	65 - 159	65 - 159	65 - 159
Max StatsBeneficial Nature	Lv. 100	170 - 264	71 - 174	71 - 174	71 - 174	71 - 174	71 - 174
Base Stats - Total: 425	Base Stats - Total: 425	75	75	55	105	85	30
Max StatsHindering Nature	Lv. 100	260 - 354	139 - 224	103 - 188	193 - 278	157 - 242	58 - 143
Max StatsNeutral Nature	Lv. 100	260 - 354	155 - 249	115 - 209	215 - 309	175 - 269	65 - 159
Max StatsBeneficial Nature	Lv. 100	260 - 354	170 - 273	126 - 229	236 - 339	192 - 295	71 - 174
Base Stats - Total: 390	Base Stats - Total: 390	65	65	45	75	45	95
Max StatsHindering Nature	Lv. 100	240 - 334	121 - 206	85 - 170	139 - 224	85 - 170	175 - 260
Max StatsNeutral Nature	Lv. 100	240 - 334	135 - 229	95 - 189	155 - 249	95 - 189	195 - 289
Max StatsBeneficial Nature	Lv. 100	240 - 334	148 - 251	104 - 207	170 - 273	104 - 207	214 - 317
Base Stats - Total: 210	Base Stats - Total: 210	55	45	45	25	25	15
Max StatsHindering Nature	Lv. 100	220 - 314	85 - 170	85 - 170	49 - 134	49 - 134	31 - 116
Max StatsNeutral Nature	Lv. 100	220 - 314	95 - 189	95 - 189	55 - 149	55 - 149	35 - 129
Max StatsBeneficial Nature	Lv. 100	220 - 314	104 - 207	104 - 207	60 - 163	60 - 163	38 - 141
Base Stats - Total: 430	Base Stats - Total: 430	95	85	85	65	65	35
Max StatsHindering Nature	Lv. 100	300 - 394	157 - 242	157 - 242	121 - 206	121 - 206	67 - 152
Max StatsNeutral Nature	Lv. 100	300 - 394	175 - 269	175 - 269	135 - 229	135 - 229	75 - 169
Max StatsBeneficial Nature	Lv. 100	300 - 394	192 - 295	192 - 295	148 - 251	148 - 251	82 - 185
Base Stats - Total: 525	Base Stats - Total: 525	65	65	60	130	95	110
Max StatsHindering Nature	Lv. 100	240 - 334	121 - 206	112 - 197	238 - 323	175 - 260	202 - 287
Max StatsNeutral Nature	Lv. 100	240 - 334	135 - 229	125 - 219	265 - 359	195 - 289	225 - 319
Max StatsBeneficial Nature	Lv. 100	240 - 334	148 - 251	137 - 240	291 - 394	214 - 317	247 - 350
Base Stats - Total: 525	Base Stats - Total: 525	95	65	110	60	130	65
Max StatsHindering Nature	Lv. 100	300 - 394	121 - 206	202 - 287	112 - 197	238 - 323	121 - 206
Max StatsNeutral Nature	Lv. 100	300 - 394	135 - 229	225 - 319	125 - 219	265 - 359	135 - 229
Max StatsBeneficial Nature	Lv. 100	300 - 394	148 - 251	247 - 350	137 - 240	291 - 394	148 - 251
Base Stats - Total: 405	Base Stats - Total: 405	60	85	42	85	42	91
Max StatsHindering Nature	Lv. 100	230 - 324	157 - 242	80 - 164	157 - 242	80 - 164	168 - 252
Max StatsNeutral Nature	Lv. 100	230 - 324	175 - 269	89 - 183	175 - 269	89 - 183	187 - 281
Max StatsBeneficial Nature	Lv. 100	230 - 324	192 - 295	97 - 201	192 - 295	97 - 201	205 - 309
Base Stats - Total: 490	Base Stats - Total: 490	95	75	80	100	110	30
Max StatsHindering Nature	Lv. 100	300 - 394	139 - 224	148 - 233	184 - 269	202 - 287	58 - 143
Max StatsNeutral Nature	Lv. 100	300 - 394	155 - 249	165 - 259	205 - 299	225 - 319	65 - 159
Max StatsBeneficial Nature	Lv. 100	300 - 394	170 - 273	181 - 284	225 - 328	247 - 350	71 - 174
Base Stats - Total: 435	Base Stats - Total: 435	60	60	60	85	85	85
Max StatsHindering Nature	Lv. 100	230 - 324	112 - 197	112 - 197	157 - 242	157 - 242	157 - 242
Max StatsNeutral Nature	Lv. 100	230 - 324	125 - 219	125 - 219	175 - 269	175 - 269	175 - 269
Max StatsBeneficial Nature	Lv. 100	230 - 324	137 - 240	137 - 240	192 - 295	192 - 295	192 - 295
Base Stats - Total: 336	Base Stats - Total: 336	48	72	48	72	48	48
Max StatsHindering Nature	Lv. 100	206 - 300	134 - 218	90 - 175	134 - 218	90 - 175	90 - 175
Max StatsNeutral Nature	Lv. 100	206 - 300	149 - 243	101 - 195	149 - 243	101 - 195	101 - 195
Max StatsBeneficial Nature	Lv. 100	206 - 300	163 - 267	111 - 214	163 - 267	111 - 214	111 - 214
Base Stats - Total: 405	Base Stats - Total: 405	190	33	58	33	58	33
Max StatsHindering Nature	Lv. 100	490 - 584	63 - 148	108 - 193	63 - 148	108 - 193	63 - 148
Max StatsNeutral Nature	Lv. 100	490 - 584	71 - 165	121 - 215	71 - 165	121 - 215	71 - 165
Max StatsBeneficial Nature	Lv. 100	490 - 584	78 - 181	133 - 236	78 - 181	133 - 236	78 - 181
Base Stats - Total: 455	Base Stats - Total: 455	70	80	65	90	65	85
