0	1
Normal	1×
Fighting	1×
Flying	1×
Ground	1×
Bug	1×
Ghost	1×
Steel	1×
Fire	1×
Psychic	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Water  2×  Grass  2×  Ice  2×	
Weak to:	Water  2×  Grass  2×  Ice  2×
Water	2×
Grass	2×
Ice	2×
Immune to:  Electric  0×	
Immune to:	Electric  0×
Electric	0×
Resistant to:  Poison  ½×  Rock  ½×	
Resistant to:	Poison  ½×  Rock  ½×
Poison	½×
Rock	½×
Notes: If this Pokémon is given a Ring Target, the effectiveness of Electric-type moves is 1×.	Notes: If this Pokémon is given a Ring Target, the effectiveness of Electric-type moves is 1×.
Notes:	
If this Pokémon is given a Ring Target, the effectiveness of Electric-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Ground  1×  Bug  1×  Ghost  1×  Steel  1×  Fire  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Ground  1×  Bug  1×  Ghost  1×  Steel  1×  Fire  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Fighting	1×
Flying	1×
Ground	1×
Bug	1×
Ghost	1×
Steel	1×
Fire	1×
Psychic	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Water  2×  Grass  2×  Ice  2×	
Weak to:	Water  2×  Grass  2×  Ice  2×
Water	2×
Grass	2×
Ice	2×
Immune to:  Electric  0×	
Immune to:	Electric  0×
Electric	0×
Resistant to:  Poison  ½×  Rock  ½×	
Resistant to:	Poison  ½×  Rock  ½×
Poison	½×
Rock	½×
Notes: If this Pokémon is given a Ring Target, the effectiveness of Electric-type moves is 1×.	Notes: If this Pokémon is given a Ring Target, the effectiveness of Electric-type moves is 1×.
Notes:	
If this Pokémon is given a Ring Target, the effectiveness of Electric-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Flying	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Steel	1×
Fire	1×
Water	1×
Grass	1×
Electric	1×
Psychic	1×
Ice	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Fighting  2×	
Weak to:	Fighting  2×
Fighting	2×
Immune to:  Ghost  0×	
Immune to:	Ghost  0×
Ghost	0×
Resistant to:  None	
Resistant to:	None
None	
Notes: If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×.	Notes: If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×.
Notes:	
If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Flying	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Steel	1×
Fire	1×
Water	1×
Grass	1×
Electric	1×
Psychic	1×
Ice	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Fighting  2×	
Weak to:	Fighting  2×
Fighting	2×
Immune to:  Ghost  0×	
Immune to:	Ghost  0×
Ghost	0×
Resistant to:  None	
Resistant to:	None
None	
Notes: If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×.	Notes: If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×.
Notes:	
If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Ghost	1×
Psychic	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Grass  2×  Electric  2×	
Weak to:	Grass  2×  Electric  2×
Grass	2×
Electric	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×	
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Steel	½×
Fire	½×
Water	½×
Ice	½×
	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Ghost	1×
Psychic	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Grass  2×  Electric  2×	
Weak to:	Grass  2×  Electric  2×
Grass	2×
Electric	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×	
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Steel	½×
Fire	½×
Water	½×
Ice	½×
	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Poison  1×  Ground  1×  Ghost  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Poison  1×  Ground  1×  Ghost  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×
Normal	1×
Fighting	1×
Poison	1×
Ground	1×
Ghost	1×
Steel	1×
Fire	1×
Water	1×
Grass	1×
Electric	1×
Ice	1×
Dragon	1×
Weak to:  Flying  2×  Psychic  2×  Fairy  2×	
Weak to:	Flying  2×  Psychic  2×  Fairy  2×
Flying	2×
Psychic	2×
Fairy	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Rock  ½×  Bug  ½×  Dark  ½×	
Resistant to:	Rock  ½×  Bug  ½×  Dark  ½×
Rock	½×
Bug	½×
Dark	½×
	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Poison  1×  Ground  1×  Ghost  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Poison  1×  Ground  1×  Ghost  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×
Normal	1×
Fighting	1×
Poison	1×
Ground	1×
Ghost	1×
Steel	1×
Fire	1×
Water	1×
Grass	1×
Electric	1×
Ice	1×
Dragon	1×
Weak to:  Flying  2×  Psychic  2×  Fairy  2×	
Weak to:	Flying  2×  Psychic  2×  Fairy  2×
Flying	2×
Psychic	2×
Fairy	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Rock  ½×  Bug  ½×  Dark  ½×	
Resistant to:	Rock  ½×  Bug  ½×  Dark  ½×
Rock	½×
Bug	½×
Dark	½×
	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ghost  1×  Electric  1×  Psychic  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ghost  1×  Electric  1×  Psychic  1×  Dragon  1×  Dark  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Ghost	1×
Electric	1×
Psychic	1×
Dragon	1×
Dark	1×
Weak to:  Ground  2×  Rock  2×  Water  2×	
Weak to:	Ground  2×  Rock  2×  Water  2×
Ground	2×
Rock	2×
Water	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×	
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Bug	½×
Steel	½×
Fire	½×
Grass	½×
Ice	½×
Fairy	½×
Notes: If this Pokémon has Flash Fire, the effectiveness of Fire-type moves is 0×. In Generation I, the effectiveness of Ice-type moves is 1×.	Notes: If this Pokémon has Flash Fire, the effectiveness of Fire-type moves is 0×. In Generation I, the effectiveness of Ice-type moves is 1×.
Notes:	
If this Pokémon has Flash Fire, the effectiveness of Fire-type moves is 0×. In Generation I, the effectiveness of Ice-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ghost  1×  Electric  1×  Psychic  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ghost  1×  Electric  1×  Psychic  1×  Dragon  1×  Dark  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Ghost	1×
Electric	1×
Psychic	1×
Dragon	1×
Dark	1×
Weak to:  Ground  2×  Rock  2×  Water  2×	
Weak to:	Ground  2×  Rock  2×  Water  2×
Ground	2×
Rock	2×
Water	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×	
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Bug	½×
Steel	½×
Fire	½×
Grass	½×
Ice	½×
Fairy	½×
Notes: If this Pokémon has Flash Fire, the effectiveness of Fire-type moves is 0×. In Generation I, the effectiveness of Ice-type moves is 1×.	Notes: If this Pokémon has Flash Fire, the effectiveness of Fire-type moves is 0×. In Generation I, the effectiveness of Ice-type moves is 1×.
Notes:	
If this Pokémon has Flash Fire, the effectiveness of Fire-type moves is 0×. In Generation I, the effectiveness of Ice-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Ghost	1×
Psychic	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Grass  2×  Electric  2×	
Weak to:	Grass  2×  Electric  2×
Grass	2×
Electric	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×	
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Steel	½×
Fire	½×
Water	½×
Ice	½×
Notes: If this Pokémon has Water Absorb, the effectiveness of Water-type moves is 0×.	Notes: If this Pokémon has Water Absorb, the effectiveness of Water-type moves is 0×.
Notes:	
If this Pokémon has Water Absorb, the effectiveness of Water-type moves is 0×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Ghost	1×
Psychic	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Grass  2×  Electric  2×	
Weak to:	Grass  2×  Electric  2×
Grass	2×
Electric	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×	
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Steel	½×
Fire	½×
Water	½×
Ice	½×
Notes: If this Pokémon has Water Absorb, the effectiveness of Water-type moves is 0×.	Notes: If this Pokémon has Water Absorb, the effectiveness of Water-type moves is 0×.
Notes:	
If this Pokémon has Water Absorb, the effectiveness of Water-type moves is 0×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Poison  1×  Ground  1×  Ghost  1×  Dragon  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Poison  1×  Ground  1×  Ghost  1×  Dragon  1×
Normal	1×
Fighting	1×
Poison	1×
Ground	1×
Ghost	1×
Dragon	1×
Weak to:  Flying  2×  Grass  2×  Electric  2×  Psychic  2×  Fairy  2×	
Weak to:	Flying  2×  Grass  2×  Electric  2×  Psychic  2×  Fairy  2×
Flying	2×
Grass	2×
Electric	2×
Psychic	2×
Fairy	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Rock  ½×  Bug  ½×  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×  Dark  ½×	
Resistant to:	Rock  ½×  Bug  ½×  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×  Dark  ½×
Rock	½×
Bug	½×
Steel	½×
Fire	½×
Water	½×
Ice	½×
Dark	½×
Notes: If this Pokémon has Water Absorb, the effectiveness of Water-type moves is 0×.	Notes: If this Pokémon has Water Absorb, the effectiveness of Water-type moves is 0×.
Notes:	
If this Pokémon has Water Absorb, the effectiveness of Water-type moves is 0×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×  Fairy  1×
Normal	1×
Flying	1×
Poison	1×
Ground	1×
Rock	1×
Steel	1×
Fire	1×
Water	1×
Grass	1×
Electric	1×
Ice	1×
Dragon	1×
Fairy	1×
Weak to:  Bug  2×  Ghost  2×  Dark  2×	
Weak to:	Bug  2×  Ghost  2×  Dark  2×
Bug	2×
Ghost	2×
Dark	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ½×  Psychic  ½×	
Resistant to:	Fighting  ½×  Psychic  ½×
Fighting	½×
Psychic	½×
Notes: In Generation I, the effectiveness of Ghost-type moves is 0×.	Notes: In Generation I, the effectiveness of Ghost-type moves is 0×.
Notes:	
In Generation I, the effectiveness of Ghost-type moves is 0×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×  Fairy  1×
Normal	1×
Flying	1×
Poison	1×
Ground	1×
Rock	1×
Steel	1×
Fire	1×
Water	1×
Grass	1×
Electric	1×
Ice	1×
Dragon	1×
Fairy	1×
Weak to:  Bug  2×  Ghost  2×  Dark  2×	
Weak to:	Bug  2×  Ghost  2×  Dark  2×
Bug	2×
Ghost	2×
Dark	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ½×  Psychic  ½×	
Resistant to:	Fighting  ½×  Psychic  ½×
Fighting	½×
Psychic	½×
Notes: In Generation I, the effectiveness of Ghost-type moves is 0×.	Notes: In Generation I, the effectiveness of Ghost-type moves is 0×.
Notes:	
In Generation I, the effectiveness of Ghost-type moves is 0×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×  Fairy  1×
Normal	1×
Flying	1×
Poison	1×
Ground	1×
Rock	1×
Steel	1×
Fire	1×
Water	1×
Grass	1×
Electric	1×
Ice	1×
Dragon	1×
Fairy	1×
Weak to:  Bug  2×  Ghost  2×  Dark  2×	
Weak to:	Bug  2×  Ghost  2×  Dark  2×
Bug	2×
Ghost	2×
Dark	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ½×  Psychic  ½×	
Resistant to:	Fighting  ½×  Psychic  ½×
Fighting	½×
Psychic	½×
Notes: In Generation I, the effectiveness of Ghost-type moves is 0×.	Notes: In Generation I, the effectiveness of Ghost-type moves is 0×.
Notes:	
In Generation I, the effectiveness of Ghost-type moves is 0×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Poison  1×  Ground  1×  Ghost  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Poison  1×  Ground  1×  Ghost  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×
Normal	1×
Fighting	1×
Poison	1×
Ground	1×
Ghost	1×
Steel	1×
Fire	1×
Water	1×
Grass	1×
Electric	1×
Ice	1×
Dragon	1×
Weak to:  Flying  2×  Psychic  2×  Fairy  2×	
Weak to:	Flying  2×  Psychic  2×  Fairy  2×
Flying	2×
Psychic	2×
Fairy	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Rock  ½×  Bug  ½×  Dark  ½×	
Resistant to:	Rock  ½×  Bug  ½×  Dark  ½×
Rock	½×
Bug	½×
Dark	½×
	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Poison  1×  Ground  1×  Ghost  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Poison  1×  Ground  1×  Ghost  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×
Normal	1×
Fighting	1×
Poison	1×
Ground	1×
Ghost	1×
Steel	1×
Fire	1×
Water	1×
Grass	1×
Electric	1×
Ice	1×
Dragon	1×
Weak to:  Flying  2×  Psychic  2×  Fairy  2×	
Weak to:	Flying  2×  Psychic  2×  Fairy  2×
Flying	2×
Psychic	2×
Fairy	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Rock  ½×  Bug  ½×  Dark  ½×	
Resistant to:	Rock  ½×  Bug  ½×  Dark  ½×
Rock	½×
Bug	½×
Dark	½×
	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Poison  1×  Ground  1×  Ghost  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Poison  1×  Ground  1×  Ghost  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Ice  1×  Dragon  1×
Normal	1×
Fighting	1×
Poison	1×
Ground	1×
Ghost	1×
Steel	1×
Fire	1×
Water	1×
Grass	1×
Electric	1×
Ice	1×
Dragon	1×
Weak to:  Flying  2×  Psychic  2×  Fairy  2×	
Weak to:	Flying  2×  Psychic  2×  Fairy  2×
Flying	2×
Psychic	2×
Fairy	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Rock  ½×  Bug  ½×  Dark  ½×	
Resistant to:	Rock  ½×  Bug  ½×  Dark  ½×
Rock	½×
Bug	½×
Dark	½×
	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×
Normal	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Ghost	1×
Steel	1×
Dragon	1×
Dark	1×
Weak to:  Flying  2×  Fire  2×  Psychic  2×  Ice  2×	
Weak to:	Flying  2×  Fire  2×  Psychic  2×  Ice  2×
Flying	2×
Fire	2×
Psychic	2×
Ice	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×	
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Fighting	½×
Water	½×
Grass	¼×
Electric	½×
Fairy	½×
Notes: In Generation I, the effectiveness of Bug-type moves is 4×.	Notes: In Generation I, the effectiveness of Bug-type moves is 4×.
Notes:	
In Generation I, the effectiveness of Bug-type moves is 4×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×
Normal	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Ghost	1×
Steel	1×
Dragon	1×
Dark	1×
Weak to:  Flying  2×  Fire  2×  Psychic  2×  Ice  2×	
Weak to:	Flying  2×  Fire  2×  Psychic  2×  Ice  2×
Flying	2×
Fire	2×
Psychic	2×
Ice	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×	
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Fighting	½×
Water	½×
Grass	¼×
Electric	½×
Fairy	½×
Notes: In Generation I, the effectiveness of Bug-type moves is 4×.	Notes: In Generation I, the effectiveness of Bug-type moves is 4×.
Notes:	
In Generation I, the effectiveness of Bug-type moves is 4×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×
Normal	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Ghost	1×
Steel	1×
Dragon	1×
Dark	1×
Weak to:  Flying  2×  Fire  2×  Psychic  2×  Ice  2×	
Weak to:	Flying  2×  Fire  2×  Psychic  2×  Ice  2×
Flying	2×
Fire	2×
Psychic	2×
Ice	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×	
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Fighting	½×
Water	½×
Grass	¼×
Electric	½×
Fairy	½×
Notes: In Generation I, the effectiveness of Bug-type moves is 4×.	Notes: In Generation I, the effectiveness of Bug-type moves is 4×.
Notes:	
In Generation I, the effectiveness of Bug-type moves is 4×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Flying  1×  Rock  1×  Ghost  1×  Grass  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Flying  1×  Rock  1×  Ghost  1×  Grass  1×  Dragon  1×  Dark  1×
Normal	1×
Flying	1×
Rock	1×
Ghost	1×
Grass	1×
Dragon	1×
Dark	1×
Weak to:  Ground  2×  Electric  2×  Psychic  2×	
Weak to:	Ground  2×  Electric  2×  Psychic  2×
Ground	2×
Electric	2×
Psychic	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ½×  Poison  ½×  Bug  ½×  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×  Fairy  ½×	
Resistant to:	Fighting  ½×  Poison  ½×  Bug  ½×  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×  Fairy  ½×
Fighting	½×
Poison	½×
Bug	½×
Steel	½×
Fire	½×
Water	½×
Ice	½×
Fairy	½×
Notes: In Generation I, the effectiveness of Bug-type moves is 2×.	Notes: In Generation I, the effectiveness of Bug-type moves is 2×.
Notes:	
In Generation I, the effectiveness of Bug-type moves is 2×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Flying  1×  Rock  1×  Ghost  1×  Grass  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Flying  1×  Rock  1×  Ghost  1×  Grass  1×  Dragon  1×  Dark  1×
Normal	1×
Flying	1×
Rock	1×
Ghost	1×
Grass	1×
Dragon	1×
Dark	1×
Weak to:  Ground  2×  Electric  2×  Psychic  2×	
Weak to:	Ground  2×  Electric  2×  Psychic  2×
Ground	2×
Electric	2×
Psychic	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ½×  Poison  ½×  Bug  ½×  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×  Fairy  ½×	
