,First_pokemon,Second_pokemon,Winner
12715,Hippowdon,Ivysaur,Ivysaur
12716,Carvanha,Arcanine,Arcanine
12717,Sewaddle,Piloswine,Piloswine
12718,Heracross,Simisage,Simisage
12719,Kakuna,Celebi,Celebi
12720,Hippopotas,Aurorus,Aurorus
12721,Krookodile,Sylveon,Krookodile
12722,Drowzee,Leafeon,Leafeon
12723,Hoopa,Mantyke,Hoopa
12724,Goomy,Ferrothorn,Goomy
12725,Roggenrola,Caterpie,Roggenrola
12726,Xerneas,Boldore,Xerneas
12727,Buizel,Hitmontop,Buizel
12728,Accelgor,Sawsbuck,Accelgor
12729,Vanillish,Drifloon,Drifloon
12730,Fraxure,Remoraid,Fraxure
12731,Spritzee,Liepard,Liepard
12732,Chansey,Squirtle,Chansey
12733,Slugma,Gabite,Gabite
12734,Loudred,Magnezone,Magnezone
12735,Galvantula,Beautifly,Galvantula
12736,Smoochum,Kingdra,Kingdra
12737,Exeggcute,Altaria,Altaria
12738,Parasect,Blastoise,Blastoise
12739,Gloom,Butterfree,Butterfree
12740,Lickilicky,Arbok,Arbok
12741,Musharna,Weepinbell,Weepinbell
12742,Shelgon,Haunter,Haunter
12743,Shelmet,Crawdaunt,Crawdaunt
12744,Igglybuff,Hoothoot,Hoothoot
12745,Stantler,Houndour,Stantler
12746,Numel,Zebstrika,Zebstrika
12747,Cobalion,Goomy,Cobalion
12748,Regirock,Alomomola,Alomomola
12749,Litleo,Terrakion,Terrakion
12750,Cascoon,Gyarados,Gyarados
12751,Natu,Oshawott,Natu
12752,Escavalier,Tyranitar,Tyranitar
12753,Pelipper,Chikorita,Pelipper
12754,Suicune,Delphox,Delphox
12755,Dodrio,Trapinch,Dodrio
12756,Ninjask,Cobalion,Ninjask
12757,Riolu,Shellder,Riolu
12758,Marshtomp,Plusle,Plusle
12759,Aipom,NidoranM,Aipom
12760,Misdreavus,Swadloon,Misdreavus
12761,Milotic,Granbull,Milotic
12762,Donphan,Torchic,Donphan
12763,Weezing,Shellos,Weezing
12764,Cleffa,Sudowoodo,Sudowoodo
12765,Milotic,Lickitung,Milotic
12766,Magcargo,Beartic,Beartic
12767,Bunnelby,Cacturne,Bunnelby
12768,Lillipup,Tympole,Tympole
12769,Braixen,Dodrio,Dodrio
12770,Pikachu,Stunfisk,Stunfisk
12771,Mawile,Venomoth,Venomoth
12772,Feebas,Jumpluff,Jumpluff
12773,Grotle,Tyrogue,Grotle
12774,Wynaut,Bunnelby,Bunnelby
12775,Alakazam,Mewtwo,Mewtwo
12776,Accelgor,Banette,Accelgor
12777,Qwilfish,Doublade,Qwilfish
12778,Zigzagoon,Darumaka,Zigzagoon
12779,Steelix,Bibarel,Bibarel
12780,Mesprit,Ho-oh,Ho-oh
12781,Scizor,Pancham,Scizor
12782,Electrike,Ponyta,Ponyta
12783,Watchog,Scolipede,Scolipede
12784,Dragonair,Bunnelby,Dragonair
12785,Finneon,Manaphy,Manaphy
12786,Noctowl,Delcatty,Delcatty
12787,Magmortar,Liepard,Liepard
12788,Feraligatr,Audino,Feraligatr
12789,Conkeldurr,Exploud,Exploud
12790,Klink,Tropius,Tropius
12791,Poliwhirl,Pumpkaboo,Poliwhirl
12792,Cinccino,Jumpluff,Cinccino
12793,Fletchinder,Sharpedo,Sharpedo
12794,Swampert,Hitmonlee,Hitmonlee
12795,Kricketune,Sunkern,Kricketune
12796,Glalie,Beartic,Glalie
12797,Dwebble,Pupitar,Dwebble
12798,Hippopotas,Flabébé,Flabébé
12799,Hydreigon,Kyogre,Hydreigon
12800,Dugtrio,Donphan,Dugtrio
12801,Forretress,Dusknoir,Dusknoir
12802,Tyrogue,Exploud,Exploud
12803,Gothitelle,Steelix,Gothitelle
12804,Braviary,Seadra,Seadra
12805,Gothorita,Cresselia,Cresselia
12806,Quagsire,Barbaracle,Barbaracle
12807,Tropius,Barboach,Barboach
12808,Chingling,Buneary,Buneary
12809,Meowstic,Beautifly,Meowstic
12810,Makuhita,Froslass,Froslass
12811,Golduck,Forretress,Golduck
12812,Croagunk,Noctowl,Noctowl
12813,Metapod,Darumaka,Darumaka
12814,Nidoqueen,Typhlosion,Typhlosion
12815,Lileep,Yanmega,Yanmega
12816,Umbreon,Politoed,Politoed
12817,Helioptile,Xerneas,Xerneas
12818,Steelix,Cranidos,Cranidos
12819,Makuhita,Meowstic,Meowstic
12820,Genesect,Escavalier,Genesect
12821,Teddiursa,Fraxure,Fraxure
12822,Magnemite,Leavanny,Leavanny
12823,Volcanion,Fraxure,Volcanion
12824,Cinccino,Marowak,Cinccino
12825,Vanillish,Lotad,Vanillish
12826,Spritzee,Wormadam,Wormadam
12827,Poochyena,Happiny,Poochyena
12828,Tympole,Mawile,Tympole
12829,Cacnea,Skarmory,Skarmory
12830,Magnezone,Diggersby,Diggersby
12831,Pansear,Burmy,Pansear
12832,Tornadus,Braviary,Tornadus
12833,Spritzee,Jynx,Jynx
12834,Tranquill,Parasect,Tranquill
12835,Lumineon,Murkrow,Murkrow
12836,Zoroark,Lickitung,Zoroark
12837,Chatot,Bibarel,Chatot
12838,Corphish,Fraxure,Fraxure
12839,Mawile,Kyogre,Kyogre
12840,Armaldo,Mawile,Mawile
12841,Greninja,Ferroseed,Greninja
12842,Togepi,Wobbuffet,Wobbuffet
12843,Golurk,NidoranM,NidoranM
12844,Crawdaunt,Floatzel,Floatzel
12845,Rhydon,Skiddo,Skiddo
12846,Mantine,Tympole,Mantine
12847,Vibrava,Dusclops,Vibrava
12848,Marowak,Nidorino,Nidorino
12849,Cranidos,Rotom,Rotom
12850,Mareep,Lapras,Lapras
12851,Seedot,Mudkip,Mudkip
12852,Salamence,Emolga,Emolga
12853,Mewtwo,Shellos,Mewtwo
12854,Ambipom,Slurpuff,Ambipom
12855,Lotad,Kingdra,Kingdra
12856,Bellossom,Shiftry,Shiftry
12857,Helioptile,Mantine,Mantine
12858,Entei,Spheal,Entei
12859,Latios,Tauros,Tauros
12860,Yanma,Scolipede,Scolipede
12861,Kyurem,Pidgeot,Pidgeot
12862,Weepinbell,Gible,Weepinbell
12863,Prinplup,Floette,Floette
12864,Ninetales,Magnezone,Ninetales
12865,Riolu,Bayleef,Bayleef
12866,Bastiodon,Raichu,Raichu
12867,Hydreigon,Exeggcute,Hydreigon
12868,Sentret,Donphan,Donphan
12869,Cleffa,Aerodactyl,Aerodactyl
12870,Druddigon,Combusken,Combusken
12871,Machamp,Solosis,Machamp
12872,Latios,Foongus,Latios
12873,Beldum,Omastar,Omastar
12874,Furfrou,Monferno,Furfrou
12875,Registeel,Cradily,Registeel
12876,Purrloin,Mr. Mime,Purrloin
12877,Forretress,Nidorina,Nidorina
12878,Simisear,Abra,Simisear
12879,Shedinja,Empoleon,Empoleon
12880,Seismitoad,Victini,Victini
12881,Misdreavus,Deerling,Deerling
12882,Snivy,Riolu,Snivy
12883,Leavanny,Lanturn,Leavanny
12884,Liepard,Scatterbug,Liepard
12885,Arceus,Buizel,Arceus
12886,Florges,Cobalion,Cobalion
12887,Registeel,Burmy,Registeel
12888,Taillow,Skuntank,Taillow
12889,Banette,Cresselia,Cresselia
12890,Lumineon,Swadloon,Lumineon
12891,Shellder,Jirachi,Jirachi
12892,Illumise,Mandibuzz,Illumise
12893,Galvantula,Greninja,Greninja
12894,Lapras,Virizion,Virizion
12895,Darkrai,Psyduck,Darkrai
12896,Weezing,Baltoy,Weezing
12897,Cobalion,Karrablast,Cobalion
12898,Hitmonchan,Doublade,Doublade
12899,Gastly,Herdier,Herdier
12900,Pidgey,Yamask,Yamask
12901,Igglybuff,Vanillite,Vanillite
12902,Shelmet,Glaceon,Glaceon
12903,Mareep,Avalugg,Mareep
12904,Clauncher,Porygon2,Porygon2
12905,Chikorita,Hypno,Hypno
12906,Rhyperior,Litleo,Rhyperior
12907,Machop,Bellsprout,Bellsprout
12908,Empoleon,Zapdos,Zapdos
12909,Bunnelby,Doduo,Doduo
12910,Shuckle,Zangoose,Zangoose
12911,Shelgon,Mareep,Shelgon
12912,Throh,Dratini,Dratini
12913,Heracross,Aromatisse,Heracross
12914,Natu,Budew,Natu
12915,Typhlosion,Bergmite,Typhlosion
12916,Caterpie,Hoothoot,Hoothoot
12917,Mankey,Froslass,Froslass
12918,Kyogre,Greninja,Greninja
12919,Metapod,Kyurem,Kyurem
12920,Slakoth,Croagunk,Croagunk
12921,Dragalge,Gible,Dragalge
12922,Drifblim,Palkia,Palkia
12923,Accelgor,Bastiodon,Accelgor
12924,Walrein,Gible,Walrein
12925,Pidove,Bayleef,Bayleef
12926,Seviper,Metapod,Seviper
12927,Mudkip,Chikorita,Chikorita
12928,Luxio,Milotic,Milotic
12929,Staravia,Slaking,Slaking
12930,Aromatisse,Paras,Aromatisse
12931,Sceptile,Mudkip,Sceptile
12932,Medicham,Skuntank,Skuntank
12933,Feraligatr,Bronzong,Feraligatr
12934,Wurmple,Prinplup,Prinplup
12935,Minun,Carvanha,Minun
12936,Eelektrik,Tranquill,Tranquill
12937,Aerodactyl,Axew,Aerodactyl
12938,Relicanth,Joltik,Joltik
12939,Poochyena,Noivern,Noivern
12940,Mewtwo,Magby,Mewtwo
12941,Whiscash,Igglybuff,Whiscash
12942,Donphan,Unfezant,Unfezant
12943,Flaaffy,Muk,Muk
12944,Binacle,Ralts,Binacle
12945,Spearow,Klinklang,Klinklang
12946,Psyduck,Bisharp,Bisharp
12947,Kricketune,Granbull,Kricketune
12948,Garchomp,Primeape,Garchomp
12949,Cobalion,Tranquill,Cobalion
12950,Hypno,Bidoof,Hypno
12951,Smeargle,Gengar,Gengar
12952,Cloyster,Metapod,Cloyster
12953,Mismagius,Baltoy,Mismagius
12954,Ledyba,Gorebyss,Ledyba
12955,Nidorina,Regice,Nidorina
12956,Magcargo,Pawniard,Pawniard
12957,Dunsparce,Magnemite,Magnemite
12958,Whimsicott,Gardevoir,Whimsicott
12959,Sudowoodo,Mesprit,Mesprit
12960,Diggersby,Musharna,Diggersby
12961,Pinsir,Trevenant,Pinsir
12962,Froakie,Cinccino,Cinccino
12963,NidoranM,Staraptor,Staraptor
12964,Eevee,Chikorita,Eevee
12965,Bibarel,Bronzong,Bibarel
12966,Herdier,Avalugg,Herdier
12967,Flareon,Golett,Golett
12968,Walrein,Froakie,Froakie
12969,Persian,Shelmet,Persian
12970,Oddish,Pawniard,Pawniard
12971,Azelf,Zigzagoon,Azelf
12972,Zubat,Wurmple,Zubat
12973,Amaura,Aggron,Aggron
12974,Ninjask,Swampert,Ninjask
12975,Ho-oh,Bonsly,Ho-oh
12976,Phione,Celebi,Celebi
12977,Sandslash,Xatu,Xatu
12978,Archeops,Munna,Archeops
12979,Graveler,Wailord,Wailord
12980,Diancie,Clamperl,Diancie
12981,Gothitelle,Hydreigon,Hydreigon
12982,Weepinbell,Oddish,Weepinbell
12983,Fletchling,Dwebble,Fletchling
12984,Dustox,Gyarados,Gyarados
12985,Zweilous,Klang,Zweilous
12986,Turtwig,Lampent,Lampent
12987,Spinarak,Dedenne,Dedenne
12988,Chatot,Whimsicott,Whimsicott
12989,Terrakion,Inkay,Terrakion
12990,Surskit,Hoothoot,Surskit
12991,Swablu,Grotle,Swablu
12992,Stunfisk,Blissey,Stunfisk
12993,Nidoking,Vespiquen,Vespiquen
12994,Nidorino,Scolipede,Scolipede
12995,Sentret,Growlithe,Growlithe
12996,Vaporeon,Darumaka,Vaporeon
12997,Sableye,Malamar,Malamar
12998,Corsola,Duskull,Corsola
12999,Latios,Fearow,Latios
13000,Heliolisk,Simisage,Heliolisk
13001,Trubbish,Skiddo,Trubbish
13002,Emboar,Exeggcute,Emboar
13003,Vanilluxe,Axew,Vanilluxe
13004,Diggersby,Quilladin,Diggersby
13005,Beedrill,Krabby,Beedrill
13006,Archen,Beedrill,Beedrill
13007,Gastrodon,Magmar,Magmar
13008,Riolu,Eelektrik,Riolu
13009,Gallade,Vigoroth,Vigoroth
13010,Fraxure,Darkrai,Darkrai
13011,Roggenrola,Mawile,Mawile
13012,Furret,Spearow,Furret
13013,Throh,Porygon-Z,Porygon-Z
13014,Feraligatr,Piloswine,Feraligatr
13015,Horsea,Vaporeon,Vaporeon
13016,Farfetch'd,Corsola,Farfetch'd
13017,Lugia,Cloyster,Lugia
13018,Vulpix,Camerupt,Vulpix
13019,Vullaby,Mantyke,Vullaby
13020,Feraligatr,Yanma,Yanma
13021,Weepinbell,Bidoof,Weepinbell
13022,Pansear,Cranidos,Pansear
13023,Trevenant,Kecleon,Kecleon
13024,Quilladin,Pangoro,Pangoro
13025,Torchic,Grimer,Torchic
13026,Mawile,Pangoro,Pangoro
13027,Omastar,Slowbro,Omastar
13028,Dusknoir,Mandibuzz,Mandibuzz
13029,Marill,Noivern,Marill
13030,Carracosta,Skarmory,Carracosta
13031,Feebas,Banette,Banette
13032,Aurorus,Stoutland,Stoutland
13033,Starly,Alakazam,Alakazam
13034,Raichu,Litwick,Raichu
13035,Venipede,Excadrill,Excadrill
13036,Hitmonlee,Scatterbug,Hitmonlee
13037,Nidoking,Mismagius,Mismagius
13038,Drifblim,Lillipup,Lillipup
13039,Piplup,Kricketune,Kricketune
13040,Sawk,Ivysaur,Sawk
13041,Grumpig,Staryu,Staryu
13042,Trevenant,Shroomish,Trevenant
13043,Fennekin,Slakoth,Fennekin
13044,Grovyle,Aerodactyl,Aerodactyl
13045,Dusknoir,Wynaut,Dusknoir
13046,Delibird,Noivern,Noivern
13047,Toxicroak,Skiploom,Toxicroak
13048,Tepig,Garchomp,Garchomp
13049,Luxray,Clauncher,Luxray
13050,Fearow,Growlithe,Fearow
13051,Hoothoot,Seadra,Seadra
13052,Inkay,Luvdisc,Luvdisc
13053,Probopass,Piplup,Piplup
13054,Klefki,Ivysaur,Klefki
13055,Whismur,Venusaur,Venusaur
13056,Tynamo,NidoranF,Tynamo
13057,Aipom,Pidgey,Aipom
13058,Joltik,Manectric,Manectric
13059,Delcatty,Relicanth,Delcatty
13060,Pansage,Exploud,Exploud
13061,Roggenrola,Vaporeon,Vaporeon
13062,Gothita,Barboach,Barboach
13063,Ekans,Pachirisu,Pachirisu
13064,Weedle,Tyrantrum,Tyrantrum
13065,Nidoqueen,Unfezant,Unfezant
13066,Basculin,Duosion,Basculin
13067,Onix,Bayleef,Onix
13068,Whiscash,Hitmonlee,Hitmonlee
13069,Poliwrath,Manaphy,Manaphy
13070,Reuniclus,Horsea,Reuniclus
13071,Palpitoad,Doublade,Palpitoad
13072,Beartic,Magnemite,Beartic
13073,Whismur,Aerodactyl,Aerodactyl
13074,Barboach,Duosion,Barboach
13075,Spearow,Eelektross,Spearow
13076,Budew,Smoochum,Smoochum
13077,Noctowl,Pumpkaboo,Pumpkaboo
13078,Misdreavus,Sableye,Sableye
13079,Furfrou,Petilil,Furfrou
13080,Frogadier,Azelf,Azelf
13081,Snorlax,Mienfoo,Mienfoo
13082,Croagunk,Spinarak,Croagunk
13083,Heatmor,Prinplup,Heatmor
13084,Venipede,Dustox,Dustox
13085,Pinsir,Froslass,Froslass
13086,Heatmor,Venonat,Heatmor
13087,Girafarig,Drowzee,Girafarig
13088,Geodude,Smoochum,Geodude
13089,Umbreon,Barbaracle,Barbaracle
13090,Krokorok,Absol,Absol
13091,Vanillite,Liepard,Liepard
13092,Quagsire,Charmeleon,Quagsire
13093,Kricketot,Lugia,Lugia
13094,Talonflame,Baltoy,Talonflame
13095,Huntail,Feraligatr,Feraligatr
13096,Haunter,Tympole,Haunter
13097,Ninjask,Avalugg,Avalugg
13098,Frillish,Pineco,Pineco
13099,Butterfree,Shroomish,Butterfree
13100,Pidgey,Thundurus,Thundurus
13101,Tranquill,Frogadier,Frogadier
13102,Pidgey,Sewaddle,Pidgey
13103,Lopunny,Kirlia,Lopunny
13104,Tynamo,Snivy,Snivy
13105,Hippowdon,Phantump,Hippowdon
13106,Volbeat,Rhyhorn,Volbeat
13107,Chimecho,Bagon,Chimecho
13108,Pidove,Phione,Phione
13109,Exeggcute,Ludicolo,Ludicolo
13110,Torkoal,Jigglypuff,Jigglypuff
13111,Xatu,Camerupt,Xatu
13112,Munna,Aron,Aron
13113,Solosis,Manectric,Manectric
13114,Yveltal,Escavalier,Yveltal
13115,Aromatisse,Helioptile,Aromatisse
13116,Slurpuff,Luxray,Slurpuff
13117,Venonat,Axew,Axew
13118,Grovyle,Cascoon,Grovyle
13119,Cobalion,Mandibuzz,Cobalion
13120,Galvantula,Lugia,Lugia
13121,Fennekin,Smeargle,Smeargle
13122,Furfrou,Electabuzz,Electabuzz
13123,Charmander,Hawlucha,Hawlucha
13124,Lillipup,Dusclops,Dusclops
13125,Clawitzer,Archeops,Archeops
13126,Numel,Leavanny,Leavanny
13127,Aegislash,Druddigon,Druddigon
13128,Skiploom,Blitzle,Skiploom
13129,Lumineon,Jolteon,Jolteon
13130,Parasect,Bisharp,Bisharp
13131,Beautifly,Taillow,Taillow
13132,Skiddo,Wurmple,Skiddo
13133,Woobat,Tranquill,Woobat
13134,Machamp,Eevee,Eevee
13135,Slowpoke,Ralts,Slowpoke
13136,Kabutops,Flaaffy,Kabutops
13137,Gothitelle,Klinklang,Klinklang
13138,Nincada,Volcarona,Volcarona
13139,Timburr,Inkay,Inkay
13140,Beedrill,Mime Jr.,Beedrill
13141,Slurpuff,Carbink,Slurpuff
13142,Volcarona,Garbodor,Volcarona
13143,Cherrim,Herdier,Cherrim
13144,Rayquaza,Rhyhorn,Rayquaza
13145,Beedrill,Cradily,Beedrill
13146,Probopass,Ducklett,Ducklett
13147,Crawdaunt,Togepi,Crawdaunt
13148,Weezing,Braixen,Braixen
13149,Paras,Solrock,Solrock
13150,Metapod,Hitmonlee,Hitmonlee
13151,Yamask,Porygon-Z,Porygon-Z
13152,Milotic,Flareon,Milotic
13153,Tyrogue,Sigilyph,Sigilyph
13154,Bellossom,Gastrodon,Bellossom
13155,Wobbuffet,Forretress,Forretress
13156,Illumise,Skiddo,Illumise
13157,Blitzle,Frillish,Frillish
13158,Archen,Huntail,Archen
13159,Gastly,Samurott,Gastly
13160,Crobat,Muk,Crobat
13161,Parasect,Blitzle,Blitzle
13162,Houndour,Politoed,Politoed
13163,Makuhita,Sentret,Makuhita
13164,Spinda,Bagon,Spinda
13165,Tornadus,Quagsire,Tornadus
13166,Leavanny,Beartic,Leavanny
13167,Poochyena,Swinub,Swinub
13168,Boldore,Piplup,Piplup
13169,Kirlia,Metapod,Kirlia
13170,Giratina,Phanpy,Giratina
13171,Gothita,Nidorina,Nidorina
13172,Prinplup,Mienshao,Mienshao
13173,Sandile,Wormadam,Sandile
13174,Shellder,Infernape,Infernape
13175,Elekid,Swalot,Elekid
13176,Starly,Lillipup,Starly
13177,Bunnelby,Flabébé,Bunnelby
13178,Goldeen,Klefki,Klefki
13179,Finneon,Suicune,Suicune
13180,Teddiursa,Jynx,Jynx
13181,Dwebble,Drapion,Drapion
13182,Mismagius,Garchomp,Mismagius
13183,Jynx,Froakie,Jynx
13184,Fletchinder,Sentret,Fletchinder
13185,Slowbro,Bayleef,Bayleef
13186,Electabuzz,Dragalge,Electabuzz
13187,Xatu,Aromatisse,Xatu
13188,Bisharp,Buneary,Buneary
13189,Unown,Volbeat,Volbeat
13190,Smeargle,Barbaracle,Smeargle
13191,Venomoth,Zapdos,Zapdos
13192,Terrakion,Politoed,Terrakion
13193,Cubone,Heliolisk,Cubone
13194,Dialga,Squirtle,Dialga
13195,Fletchinder,Trevenant,Fletchinder
13196,Marill,Drifblim,Drifblim
13197,Garchomp,Surskit,Garchomp
13198,Giratina,Mawile,Mawile
13199,Nidorina,Giratina,Giratina
13200,Archeops,Luxray,Archeops
13201,Cinccino,Swalot,Cinccino
13202,Ledian,Swablu,Ledian
13203,Tirtouga,Squirtle,Squirtle
13204,Poliwhirl,Igglybuff,Poliwhirl
13205,Aerodactyl,Machoke,Aerodactyl
13206,Delcatty,Absol,Absol
13207,Solrock,Doduo,Doduo
13208,Skiddo,Masquerain,Masquerain
13209,Staryu,Glalie,Staryu
13210,Ludicolo,Shelmet,Ludicolo
13211,Venusaur,Combee,Venusaur
13212,Tyrunt,Ampharos,Ampharos
13213,Joltik,Gorebyss,Joltik
13214,Litleo,Steelix,Litleo
13215,Lanturn,Cascoon,Lanturn
13216,Gorebyss,Bisharp,Bisharp
13217,Chinchou,Zubat,Chinchou
13218,Beldum,Metagross,Metagross
13219,Rayquaza,Tirtouga,Rayquaza
13220,Mesprit,Burmy,Mesprit
13221,Regirock,Vigoroth,Vigoroth
13222,Oddish,Pignite,Pignite
13223,Pichu,Zekrom,Zekrom
13224,NidoranM,Slowbro,NidoranM
13225,Palpitoad,Minun,Minun
13226,Pelipper,Togetic,Pelipper
13227,Meowstic,Smeargle,Meowstic
13228,Horsea,Diglett,Diglett
13229,Yamask,Drapion,Drapion
13230,Noivern,Gothorita,Noivern
13231,Sneasel,Victini,Sneasel
13232,Glalie,Klefki,Glalie
13233,Claydol,Lotad,Claydol
13234,Scyther,Gastrodon,Scyther
13235,Espeon,Tauros,Tauros
13236,Sigilyph,Articuno,Sigilyph
13237,Regigigas,Ampharos,Regigigas
13238,Lumineon,Shroomish,Lumineon
13239,Tyrantrum,Volcarona,Volcarona
13240,Chatot,Timburr,Chatot
13241,Joltik,Cubone,Joltik
13242,Croconaw,Giratina,Giratina
13243,Rhyhorn,Meganium,Meganium
13244,Arbok,Lopunny,Lopunny
13245,Absol,Gengar,Gengar
13246,Lugia,Cacnea,Lugia
13247,Spewpa,Krookodile,Krookodile
13248,Elekid,Eevee,Elekid
13249,Gligar,Hydreigon,Hydreigon
13250,Aurorus,Hippopotas,Aurorus
13251,Infernape,Weavile,Weavile
13252,Combusken,Charmander,Charmander
13253,Klang,Pelipper,Pelipper
13254,Nincada,Pawniard,Pawniard
13255,Bidoof,Beautifly,Beautifly
13256,Camerupt,Onix,Onix
13257,Dragalge,Ducklett,Ducklett
13258,Cryogonal,Hitmontop,Cryogonal
13259,Remoraid,Vespiquen,Remoraid
13260,Musharna,Registeel,Registeel
13261,Mienshao,Victini,Mienshao
13262,Porygon-Z,Makuhita,Porygon-Z
13263,Hypno,Snorunt,Hypno
13264,Electrode,Lugia,Electrode
13265,Corphish,Pyroar,Pyroar
13266,Scizor,Muk,Scizor
13267,Cinccino,Abra,Cinccino
13268,Chingling,Landorus,Landorus
13269,Gengar,Genesect,Genesect
13270,Tangela,Scyther,Scyther
13271,Anorith,Torchic,Anorith
13272,Ledian,Ivysaur,Ledian
13273,Dunsparce,Aggron,Aggron
13274,Larvesta,Togekiss,Togekiss
13275,Klink,Phantump,Phantump
13276,Escavalier,Thundurus,Escavalier
13277,Bouffalant,Lunatone,Lunatone
13278,Mawile,Dratini,Dratini
13279,Porygon,Oshawott,Oshawott
13280,Yveltal,Spinda,Yveltal
13281,Meloetta,Skarmory,Meloetta
13282,Rotom,Donphan,Donphan
13283,Munchlax,Cascoon,Munchlax
13284,Blastoise,Glaceon,Blastoise
13285,Mankey,Sliggoo,Mankey
13286,Skorupi,Shroomish,Skorupi
13287,Samurott,Monferno,Monferno
13288,Reuniclus,Paras,Reuniclus
13289,Nidorino,Drifloon,Drifloon
13290,Dialga,Gligar,Dialga
13291,Arbok,Ledyba,Arbok
13292,Lopunny,Chespin,Lopunny
13293,Abomasnow,Heliolisk,Heliolisk
13294,Dewott,Bisharp,Bisharp
13295,Gabite,Teddiursa,Gabite
13296,Regice,Fraxure,Fraxure
13297,Snubbull,Sudowoodo,Sudowoodo
13298,Purugly,Drapion,Purugly
13299,Spearow,Fraxure,Spearow
13300,Grotle,Kingler,Kingler
13301,Scraggy,Sneasel,Sneasel
13302,Exploud,Talonflame,Talonflame
13303,Minun,Terrakion,Terrakion
13304,Vanilluxe,Frillish,Frillish
13305,Pachirisu,Torterra,Torterra
13306,Krabby,Rayquaza,Rayquaza
13307,Horsea,Fletchinder,Fletchinder
13308,Klefki,Snubbull,Klefki
13309,Delcatty,Shaymin,Shaymin
13310,Zweilous,Escavalier,Escavalier
13311,Pansear,Baltoy,Pansear
13312,Pansear,Braixen,Braixen
13313,Rhyperior,Snover,Snover
13314,Heatran,Genesect,Genesect
13315,Scizor,Lileep,Scizor
13316,Victini,Kadabra,Kadabra
13317,Skorupi,Nuzleaf,Skorupi
13318,Chimecho,Pupitar,Chimecho
13319,Palpitoad,Arbok,Arbok
13320,Dusknoir,Pupitar,Pupitar
13321,Krabby,Cacnea,Krabby
13322,Samurott,Gliscor,Gliscor
13323,Metapod,Hippopotas,Hippopotas
13324,Bronzong,Wooper,Bronzong
13325,Hitmonlee,Cascoon,Hitmonlee
13326,Leafeon,Krokorok,Leafeon
13327,Cascoon,Shroomish,Shroomish
13328,Giratina,Plusle,Plusle
13329,Simipour,Dedenne,Dedenne
13330,Grimer,Cresselia,Cresselia
13331,Dodrio,Graveler,Dodrio
13332,Pidgeotto,Bonsly,Bonsly
13333,Taillow,Squirtle,Taillow
13334,Ducklett,Delibird,Delibird
13335,Empoleon,Finneon,Finneon
13336,Shuckle,Cresselia,Cresselia
13337,Regice,Altaria,Altaria
13338,Furret,Meowth,Meowth
13339,Duskull,Shellos,Shellos
13340,Bouffalant,Tauros,Tauros
13341,Swirlix,Croagunk,Croagunk
13342,Gabite,Floette,Floette
13343,Vigoroth,Monferno,Vigoroth
13344,Diggersby,Gallade,Gallade
13345,Malamar,Psyduck,Malamar
13346,Scyther,Hippopotas,Scyther
13347,Lumineon,Tyrogue,Lumineon
13348,Swampert,Swalot,Swampert
13349,Lombre,Helioptile,Helioptile
13350,Hippowdon,Goldeen,Goldeen
13351,Bayleef,Seedot,Bayleef
13352,Drapion,Jirachi,Jirachi
13353,Panpour,Quilava,Quilava
13354,Audino,Sunkern,Audino
13355,Clawitzer,Regirock,Clawitzer
13356,Crawdaunt,Manaphy,Manaphy
13357,Groudon,Rhydon,Groudon
13358,Amoonguss,Nidorina,Nidorina
13359,Honedge,Bidoof,Bidoof
13360,Barbaracle,Zekrom,Zekrom
13361,Marowak,Breloom,Breloom
13362,NidoranF,Krookodile,Krookodile
13363,Feebas,Chatot,Chatot
13364,Latios,Mankey,Latios
13365,Grovyle,Pichu,Grovyle
13366,Gothorita,Pelipper,Pelipper
13367,Cherubi,Pawniard,Pawniard
13368,Mime Jr.,Froakie,Froakie
13369,Eevee,Wailord,Wailord
13370,Donphan,Clamperl,Donphan
13371,Eelektrik,Togetic,Togetic
13372,Lotad,Espurr,Espurr
13373,Seel,Spinarak,Seel
13374,Shroomish,Golduck,Golduck
13375,Carnivine,Cloyster,Cloyster
13376,Absol,Oshawott,Absol
13377,Koffing,Golett,Golett
13378,Meloetta,Crustle,Meloetta
13379,Remoraid,Stunky,Stunky
13380,Banette,Seadra,Seadra
13381,Magmar,Slugma,Magmar
13382,Klefki,Croagunk,Klefki
13383,Azumarill,Golbat,Golbat
13384,Torterra,Kirlia,Torterra
13385,Poliwhirl,Nuzleaf,Poliwhirl
13386,Lucario,Petilil,Lucario
13387,Pelipper,Typhlosion,Typhlosion
13388,Starly,Geodude,Starly
13389,Treecko,Heracross,Heracross
13390,Squirtle,Clefairy,Squirtle
13391,Froslass,Kangaskhan,Kangaskhan
13392,Kricketot,Wormadam,Wormadam
13393,Jynx,Magby,Jynx
13394,Rhydon,Togetic,Togetic
13395,Prinplup,Zubat,Zubat
13396,Lilligant,Kyurem,Kyurem
13397,Spheal,Pignite,Pignite
13398,Skorupi,Clawitzer,Skorupi
13399,Lampent,Nidorina,Nidorina
13400,Magikarp,Machoke,Machoke
13401,Mandibuzz,Lillipup,Mandibuzz
13402,Litwick,Seadra,Seadra
13403,Palkia,Houndoom,Palkia
13404,Gligar,Mareep,Gligar
13405,Cranidos,Lugia,Lugia
13406,Swinub,Hitmontop,Hitmontop
13407,Gliscor,Walrein,Gliscor
